individuals,Tdur1,Tdur2,Tdur3,Tdur4,Total,Tint1,Tint2,Tint3,Ffoun1,Ffoun2,Ffoun3,Ffoun4,Fhar1,Fhar2,Fhar3,Fhar4
18,0.116,0.255,0.377,0.284,1.467,0.145,0,0.29,770,860,860,940,1550,1630,1720,1890
18,0.116,0.255,0.388,0.272,1.455,0.145,0,0.279,770,860,860,940,1550,1630,1720,1980
18,0.11,0.29,0.354,0.313,1.479,0.145,0,0.267,860,860,860,940,1550,1630,1720,1980
18,0.139,0.255,0.429,0.278,1.426,0.122,0,0.203,770,860,860,940,1550,1550,1630,1980
18,0.1333,0.261,0.412,0.29,1.409,0.1157,0,0.197,770,940,860,940,1550,1630,1630,1980
19,0.197,0.121,0.574,0.458,1.507,0.052,0.076,0.029,860,1110,1030,860,1720,2150,1800,1720
19,0.22,0.127,0.58,0.586,1.634,0.035,0.057,0.029,860,860,1030,860,1630,2150,1800,1720
19,0.226,0.139,0.603,0.516,1.588,0.035,0.04,0.029,860,1030,1030,860,1720,1720,1800,1720
19,0.22,0.116,0.597,0.499,1.587,0.046,0.069,0.04,860,860,860,860,1720,2230,2060,1630
19,0.191,0.121,0.563,0.505,1.5492,0.058,0.0822,0.029,860,860,940,940,1720,2230,2060,1720
19,0.203,0.139,0.609,0.476,1.554,0.052,0.046,0.029,860,860,1030,860,1630,2230,1550,1720
19,0.214,0.162,0.557,0.545,1.594,0.047,0.029,0.04,860,1110,940,860,1720,2230,2060,1720
19,0.185,0.133,0.592,0.528,1.566,0.064,0.064,0,860,860,940,860,1720,2230,1550,1630
19,0.185,0.133,0.597,0.481,1.53,0.064,0.07,0,860,860,940,860,1630,2230,1550,1720
19,0.191,0.133,0.568,0.458,1.525,0.064,0.07,0.041,860,1110,1030,860,1720,2230,2060,1720
20,0.179,0.162,0.429,0.992,1.89,0.128,0,0,680,860,770,770,1460,1720,1550,1550
20,0.168,0.156,0.441,1.027,1.925,0.133,0,0,680,860,770,770,1290,1720,1550,1550
20,0.156,0.162,0.429,1.219,2.111,0.145,0,0,680,860,770,770,1460,1630,1550,1550
20,0.191,0.156,0.423,1.236,2.116,0.11,0,0,680,860,770,770,1460,1630,1550,1550
20,0.162,0.174,0.417,1.201,2.099,0.145,0,0,680,860,770,770,1460,1720,1630,1550
20,0.162,0.162,0.406,0.934,1.809,0.145,0,0,680,860,770,770,1550,1720,1550,1550
20,0.168,0.174,0.412,0.992,1.868,0.122,0,0,680,770,770,770,1460,1630,1550,1550
20,0.15,0.174,0.377,0.888,1.729,0.14,0,0,600,860,770,770,1290,1550,1550,1550
20,0.15,0.162,0.417,0.772,1.647,0.146,0,0,680,860,770,770,1290,1630,1550,1550
20,0.156,0.174,0.383,1.201,2.048,0.134,0,0,600,860,770,770,1460,1630,1550,1550
21,0.191,0.139,0.412,0.377,1.357,0.099,0.035,0.104,770,860,770,680,1550,1720,1630,1460
21,0.191,0.145,0.394,0.313,1.311,0.099,0.029,0.14,680,770,770,770,1550,1720,1460,1460
21,0.197,0.139,0.394,0.342,1.334,0.099,0.023,0.14,680,770,770,770,1370,1800,1630,1460
21,0.197,0.139,0.383,0.441,1.438,0.093,0.029,0.156,770,770,770,770,1550,1630,1630,1460
21,0.203,0.133,0.359,0.383,1.38,0.093,0.046,0.163,770,770,770,770,1550,1630,1630,1460
21,0.197,0.133,0.406,0.359,1.362,0.099,0.017,0.151,770,770,770,770,1550,1630,1630,1460
21,0.197,0.133,0.388,0.4,1.426,0.093,0.029,0.186,770,860,770,770,1550,1720,1630,1460
21,0.203,0.139,0.423,0.371,1.334,0.087,0.029,0.082,680,860,770,680,1370,1550,1460,1550
21,0.191,0.139,0.371,0.325,1.322,0.099,0.029,0.168,680,770,770,770,1550,1630,1550,1550
21,0.197,0.133,0.359,0.301,1.269,0.093,0.046,0.14,680,770,770,680,1370,1550,1550,1370
22,0.133,0.174,0.417,0.684,1.762,0.122,0.046,0.186,860,940,1030,940,1800,1980,1980,1800
22,0.15,0.185,0.417,0.684,1.733,0.105,0.041,0.151,860,940,1030,940,1720,1980,1980,1800
22,0.133,0.162,0.412,0.69,1.774,0.122,0.064,0.191,860,940,940,860,1720,1980,1980,1720
